aggr,dropout,epochs,hidden_units,label,learning_rate,mode,n_layers,operator,type,artist_test_accuracy,artist_test_loss,artist_train_accuracy,artist_train_loss,artist_val_accuracy,artist_val_loss,genre_test_accuracy,genre_test_loss,genre_train_accuracy,genre_train_loss,genre_val_accuracy,genre_val_loss,style_test_accuracy,style_test_loss,style_train_accuracy,style_train_loss,style_val_accuracy,style_val_loss
mean,0,200,16,all,0.001,multi_task,3,GATConv,hetero,35,7.2428,94,0.2936,55,1.5408,66,3.1553,98,0.1227,97,0.199,63,3.4062,96,0.2188,93,0.3152
mean,0,200,16,all,0.001,multi_task,2,GATConv,hetero,21,5.0033,79,0.9228,29,2.657,65,2.3903,96,0.2182,94,0.3307,60,2.4318,93,0.3932,87,0.5869
mean,0,200,16,all,0.001,multi_task,3,GraphConv,hetero,18,59.056,43,28.6511,26,37.861,62,542.5027,91,16.8172,87,17.6435,54,259.9768,82,24.8897,79,30.4651
mean,0,200,16,all,0.001,multi_task,2,GraphConv,hetero,44,6.232,81,0.9201,67,1.7308,66,32.2401,98,0.2705,96,0.2511,62,20.8063,94,0.531,92,0.7059
mean,0,200,16,all,0.001,multi_task,3,SAGEConv,hetero,39,8.6703,93,0.3065,56,1.5666,66,2.7636,97,0.1424,94,0.2565,63,2.9156,96,0.1806,92,0.321
mean,0,200,16,all,0.001,multi_task,2,SAGEConv,hetero,37,4.136,84,0.6943,51,1.7984,65,1.9019,94,0.2918,90,0.4519,63,1.951,93,0.3552,90,0.493
sum,0,200,16,all,0.001,multi_task,3,GATConv,hetero,60,5.984,100,0.0179,98,0.1279,65,4.0186,99,0.0394,98,0.0859,64,3.6004,98,0.0587,97,0.1146
sum,0,200,16,all,0.001,multi_task,2,GATConv,hetero,58,4.808,100,0.0533,94,0.3414,66,3.0188,99,0.0567,98,0.127,64,2.8675,98,0.0749,97,0.1339
sum,0,200,16,all,0.001,multi_task,3,GraphConv,hetero,30,7657.6938,54,2438.5361,42,3330.0886,62,43316.1641,92,1161.7139,87,1349.5109,54,24204.7598,83,1779.9149,79,2144.2017
sum,0,200,16,all,0.001,multi_task,2,GraphConv,hetero,47,211.391,83,13.8465,73,26.1395,64,864.7773,96,12.3903,91,20.0744,61,577.2424,92,21.2183,89,26.1426
sum,0,200,16,all,0.001,multi_task,3,SAGEConv,hetero,60,7.6925,100,0.0154,98,0.1589,66,3.1197,100,0.0329,98,0.0979,65,3.1552,98,0.0631,97,0.1435
sum,0,200,16,all,0.001,multi_task,2,SAGEConv,hetero,60,5.5344,100,0.0162,98,0.1096,67,2.7485,100,0.0446,99,0.1055,65,2.6261,99,0.0538,97,0.1258
mean,0,200,16,all,0.001,multi_task,1,GATConv,hetero,15,4.3232,61,1.8511,20,3.4399,64,1.8646,91,0.5115,91,0.8533,58,2.098,87,0.8506,81,1.1763
mean,0,200,16,all,0.001,multi_task,1,GraphConv,hetero,44,4.5668,75,1.2124,62,1.7045,65,37.9473,97,0.2887,95,0.277,61,19.1168,94,0.4215,91,0.6008
mean,0,200,16,all,0.001,multi_task,1,SAGEConv,hetero,34,3.1567,68,1.5197,40,2.4954,65,1.4236,86,0.5917,82,0.7676,60,1.6185,84,0.7917,77,0.9901
sum,0,200,16,all,0.001,multi_task,1,GATConv,hetero,57,3.9423,100,0.0681,94,0.3611,66,2.6769,99,0.0757,98,0.1651,64,2.6684,98,0.0979,97,0.1779
sum,0,200,16,all,0.001,multi_task,1,GraphConv,hetero,50,79.4104,87,3.9741,76,7.4005,66,384.9935,98,2.2302,95,2.8163,60,206.4255,95,3.0274,90,5.6445
sum,0,200,16,all,0.001,multi_task,1,SAGEConv,hetero,59,3.7083,100,0.0466,96,0.2478,66,2.2909,99,0.0602,97,0.1548,65,2.1175,99,0.0793,97,0.1633
