aggr,dropout,epochs,hidden_units,label,learning_rate,mode,n_layers,operator,type,genre_test_accuracy,genre_test_loss,genre_train_accuracy,genre_train_loss,genre_val_accuracy,genre_val_loss
mean,0,200,16,genre,0.001,single_task,3,GATConv,hetero,66,3.1923,98,0.1404,96,0.2668
mean,0,200,16,genre,0.001,single_task,2,GATConv,hetero,65,2.4055,97,0.2231,93,0.3869
mean,0,200,16,genre,0.001,single_task,3,GraphConv,hetero,62,1002.3804,91,23.5446,88,25.9268
mean,0,200,16,genre,0.001,single_task,2,GraphConv,hetero,64,36.4707,97,0.4371,94,0.4369
mean,0,200,16,genre,0.001,single_task,3,SAGEConv,hetero,66,2.8577,97,0.1319,95,0.2079
mean,0,200,16,genre,0.001,single_task,2,SAGEConv,hetero,65,1.788,93,0.3193,89,0.4763
sum,0,200,16,genre,0.001,single_task,3,GATConv,hetero,66,3.8507,99,0.0409,99,0.0738
sum,0,200,16,genre,0.001,single_task,2,GATConv,hetero,64,3.1377,99,0.0647,95,0.2234
sum,0,200,16,genre,0.001,single_task,3,GraphConv,hetero,62,93295.1406,91,1911.5276,87,2493.1506
sum,0,200,16,genre,0.001,single_task,2,GraphConv,hetero,64,1139.5165,96,13.4429,93,17.0594
sum,0,200,16,genre,0.001,single_task,3,SAGEConv,hetero,66,3.6976,100,0.0289,97,0.1203
sum,0,200,16,genre,0.001,single_task,2,SAGEConv,hetero,66,3.0033,100,0.0237,98,0.081
mean,0,200,16,genre,0.001,single_task,1,GATConv,hetero,61,1.9377,87,0.6935,81,1.082
mean,0,200,16,genre,0.001,single_task,1,GraphConv,hetero,66,39.4195,98,0.3619,96,0.3404
mean,0,200,16,genre,0.001,single_task,1,SAGEConv,hetero,65,1.381,85,0.6186,82,0.7799
sum,0,200,16,genre,0.001,single_task,1,GATConv,hetero,66,2.4664,99,0.1075,97,0.2283
sum,0,200,16,genre,0.001,single_task,1,GraphConv,hetero,66,396.4397,98,2.7574,96,2.9632
sum,0,200,16,genre,0.001,single_task,1,SAGEConv,hetero,67,2.3045,100,0.0416,98,0.1065
