aggr,dropout,epochs,hidden_units,label,learning_rate,mode,n_layers,operator,type,style_test_accuracy,style_test_loss,style_train_accuracy,style_train_loss,style_val_accuracy,style_val_loss
mean,0,200,16,style,0.001,single_task,3,GATConv,hetero,61,3.3308,96,0.2096,91,0.3635
mean,0,200,16,style,0.001,single_task,2,GATConv,hetero,59,2.6735,92,0.3916,86,0.6108
mean,0,200,16,style,0.001,single_task,3,GraphConv,hetero,55,377.0881,83,24.7936,79,27.0297
mean,0,200,16,style,0.001,single_task,2,GraphConv,hetero,62,21.5328,93,0.6522,92,0.7308
mean,0,200,16,style,0.001,single_task,3,SAGEConv,hetero,62,2.9211,96,0.1793,92,0.3253
mean,0,200,16,style,0.001,single_task,2,SAGEConv,hetero,62,1.9595,93,0.3797,88,0.5326
sum,0,200,16,style,0.001,single_task,3,GATConv,hetero,64,3.3584,98,0.0728,97,0.1362
sum,0,200,16,style,0.001,single_task,2,GATConv,hetero,64,3.0603,98,0.0816,97,0.1335
sum,0,200,16,style,0.001,single_task,3,GraphConv,hetero,58,35553.5742,87,1723.6437,84,1564.9862
sum,0,200,16,style,0.001,single_task,2,GraphConv,hetero,59,796.4815,93,19.9435,88,31.6777
sum,0,200,16,style,0.001,single_task,3,SAGEConv,hetero,64,3.4368,98,0.0594,96,0.148
sum,0,200,16,style,0.001,single_task,2,SAGEConv,hetero,65,2.769,99,0.0575,97,0.121
mean,0,200,16,style,0.001,single_task,1,GATConv,hetero,57,2.1485,88,0.7396,82,1.0343
mean,0,200,16,style,0.001,single_task,1,GraphConv,hetero,62,23.4956,94,0.5907,91,0.7497
mean,0,200,16,style,0.001,single_task,1,SAGEConv,hetero,60,1.6247,84,0.7862,78,0.9857
sum,0,200,16,style,0.001,single_task,1,GATConv,hetero,64,2.9426,98,0.0887,97,0.1723
sum,0,200,16,style,0.001,single_task,1,GraphConv,hetero,62,243.0624,95,3.9529,91,6.7403
sum,0,200,16,style,0.001,single_task,1,SAGEConv,hetero,65,2.1841,99,0.0698,96,0.1658
